order_id,customer_age,gender,product_category,order_priority,warehouse_block,mode_of_shipment,customer_rating,cost_of_the_product,prior_purchases,discount_offered,weight_in_gms,reached_on_time
1,56.0,Female,Home & Garden,Low,B,Ship,1.0,205.05,5,2.0,1058.0,0
2,,Male,Toys,Low,C,Flight,2.0,64.44,4,41.0,5863.0,1
3,46.0,Female,Clothing,High,A,Ship,2.0,276.43,6,61.0,6969.0,1
4,32.0,Male,Books,Medium,A,Ship,,34.02,6,29.0,2258.0,0
5,60.0,Male,Electronics,High,A,Road,5.0,288.5,6,30.0,4790.0,0
6,,Male,Clothing,Medium,C,Flight,3.0,62.37,3,40.0,4412.0,0
7,38.0,Male,Clothing,Medium,C,Ship,4.0,864.13,7,21.0,4215.0,0
8,56.0,Male,Electronics,High,C,Ship,1.0,173.25,5,8.0,2918.0,1
9,36.0,Male,Clothing,Medium,D,Ship,5.0,32.15,7,30.0,6686.0,0
10,40.0,Female,Clothing,Critical,A,Ship,2.0,394.11,1,15.0,6355.0,1
11,28.0,Female,Home & Garden,Medium,A,Ship,3.0,378.39,5,34.0,5631.0,1
12,,Male,Toys,Low,A,Road,5.0,318.24,3,21.0,4709.0,0
13,41.0,Male,Electronics,Medium,D,Road,3.0,184.41,7,51.0,1838.0,1
14,53.0,Male,Clothing,Low,D,Flight,3.0,79.3,1,58.0,,1
15,57.0,Male,Clothing,Low,C,Ship,4.0,234.32,1,12.0,1740.0,0
16,,Male,Clothing,Medium,A,Ship,5.0,406.75,1,50.0,1808.0,1
17,20.0,Female,Sports,Medium,A,Ship,2.0,165.86,4,38.0,6653.0,1
18,39.0,Male,Clothing,Low,F,Flight,4.0,43.9,7,58.0,2561.0,1
19,19.0,Male,Electronics,Medium,F,Ship,4.0,769.89,5,38.0,2531.0,1
20,41.0,Male,Sports,Medium,F,Ship,4.0,255.85,6,47.0,1771.0,0
21,61.0,Male,Books,Medium,D,Ship,5.0,832.22,1,64.0,4774.0,0
22,47.0,Female,Clothing,Low,C,Flight,2.0,71.4,4,49.0,1762.0,1
23,55.0,Male,Home & Garden,Medium,B,Flight,4.0,75.48,3,45.0,2424.0,0
24,19.0,Male,Electronics,High,A,Flight,2.0,3183.95260717901,1,34.0,3578.0,1
25,38.0,Female,Electronics,High,F,Road,3.0,77.26,6,62.0,4827.0,1
26,50.0,Male,Electronics,Medium,A,Flight,3.0,52.93,7,30.0,4846.0,1
27,29.0,Female,Clothing,Low,A,Ship,,93.78,5,59.0,,1
28,39.0,Female,Toys,Medium,A,Flight,1.0,203.7,1,15.0,6430.0,0
29,61.0,Male,Clothing,High,C,Ship,4.0,372.68,3,50.0,4706.0,1
